Group ,Watch,Dominant,Subordinate,Interaction,,,,
W_camp_C,UNK,YBWN,WBBB,D,,,,
W_camp_C,UNK,YBWN,WBBB,D,,,,
W_camp_C,UNK,YBWN,WBBB,D,,,,
W_camp_C,UNK,WBBB,YBWN,D,,,,
W_camp_C,UNK,WBBB,YBWN,D,,,,
W_camp_C,UNK,YBWN,YYYN,P,,,,
W_camp_C,UNK,YBWN,YYYN,P,,,,
W_camp_C,UNK,BGBW,WBBB,D,,,,
W_camp_C,UNK,YRYG,BGBW,D,,,,
W_camp_C,UNK,YRYG,YYYN,B,,,,
W_camp_C,UNK,YRYG,WBBB,B,,,,
W_camp_C,UNK,YBWN,WBBB,D,,,,
W_camp_C,UNK,YBWN,WBBB,D,,,,
W_camp_C,UNK,WBBB,YBWN,D,,,,
W_camp_C,UNK,WBBB,YBWN,D,,,,
W_camp_C,UNK,YBWN,YYYN,D,,,,
W_camp_C,UNK,YBWN,YYYN,C,,,,
W_camp_C,UNK,WBBB,YYYN,P,,,,
W_camp_C,UNK,WBBB,YYYN,D,,,,
W_camp_C,UNK,YRYG,BGBW,D,,,,
W_camp_C,UNK,BGBW,WBBB,D,,,,
W_camp_C,UNK,BGBW,WBBB,B,,,,
W_camp_C,UNK,BGBW,YYYN,D,,,,
W_camp_C,UNK,BGBW,YYYN,C,,,,
W_camp_C,UNK,BGBW,YYYN,B,,,,
W_camp_C,UNK,BGBW,YYYN,B,,,,
W_camp_C,UNK,YRYG,RNYN,P,,,,
W_camp_C,UNK,YRYG,BGBW,B,,,,
W_camp_C,UNK,BGBW,YBWN,P,,,,
W_camp_C,UNK,BGBW,YBWN,B,,,,
W_camp_C,UNK,BGBW,RNYN,P,,,,
W_camp_C,UNK,BGBW,RNYN,P,,,,
W_camp_C,UNK,BGBW,RNYN,B,,,,
W_camp_C,UNK,YYYN,RNYN,P,,,,
W_camp_C,UNK,YYYN,RNYN,P,,,,
W_camp_C,UNK,YBWN,WBBB,D,,,,
W_camp_C,UNK,YBWN,WBBB,D,,,,
W_camp_C,UNK,YBWN,WBBB,D,,,,
W_camp_C,UNK,YBWN,WBBB,B,,,,
W_camp_C,UNK,YBWN,WBBB,B,,,,
W_camp_C,UNK,WBBB,YYYN,B,,,,
SY1_NW,1,YNGG,UB,D,,,,
SY1_NW,1,YNGG,/Y,D,,,,
SY1_NW,1,YNGG,YBYY,D,,,,
SY1_NW,1,YBWB,/Y,D,,,,
SY1_NW,2,UB,/G,D,,,,
SY1_NW,2,B-R/GY,M-,D,,,,
SY1_NW,4,UB,/G,D,,,,
SY1_NW,4,UB,/G,B,,,,
SY1_NW,5,YBWB,/G,D,,,,
SY1_NW,6,B-R/GY,/G,D,,,,
SY1_NW,6,YNGG,/G,D,,,,
SY1_NW,6,YBYY,/G,D,,,,
SY1_NW,7,YBYY,YBRG,D,,,,
SY1_NW,7,BBYG,/G,D,,,,
SY1_NW,7,YBRG,/G,D,,,,
SY1_NW,7,UB,/G,D,,,,
SY1_NW,7,YNGG,YBWB,D,,,,
SY1_NW,8,YBWB,/G,D,,,,
SY1_NW,8,UB,/G,D,,,,
SY1_NW,8,YBRG,WBBY,D,,,,
SY1_NW,9,UB,/B,D,,,,
SY1_NW,9,UB,/B,D,,,,
SY1_NW,9,YBRG,B-R/GY,D,,,,
SY1_NW,9,M-,/B,D,,,,
SY1_NW,9,M-,/B,B,,,,
SY1_NW,9,UB,WBBY,D,,,,
SY1_NW,9,UB,BBYG,D,,,,
SY1_NW,9,UB,BBYG,B,,,,
SY1_NW,9,/G,/B,D,,,,
SY1_NW,9,UB,/G,D,,,,
SY1_NW,10,UB,YBRG,D,,,,
SY1_NW,10,YBRG,/G,D,,,,
SY1_NW,10,UB,/G,D,,,,
SY1_NW,10,/B,/G,D,,,,
SY1_NW,10,/B,/G,B,,,,
SY1_NW,10,YNGG,/B,P,,,,
SY1_NW,10,YNGG,/B,D,,,,
SY1_NW,10,YNGG,UB,D,,,,
SY1_C,1,YYBB,YBB-Y,D,,,,
SY1_C,1,YYBB,YBB-Y,D,,,,
SY1_C,1,YYBB,WRGB,D,,,,
SY1_C,1,WWYY,/G,D,,,,
SY1_C,1,WWYY,/G,D,,,,
SY1_C,1,WWYY,/G,D,,,,
SY1_C,1,WWYY,YBB-Y,D,,,,
SY1_C,1,WWYY,YBB-Y,D,,,,
SY1_C,1,WWYY,YBB-Y,D,,,,
SY1_C,1,WWYY,YBB-Y,C,,,,
SY1_C,1,WWYY,WRGB,D,,,,
SY1_C,1,WWYY,WRGB,B,,,,
SY1_C,2,YYBB,/G,D,,,,
SY1_C,2,YYBB,/G,D,,,,
SY1_C,2,YYBB,/G,B,,,,
SY1_C,2,YYBB,YBB-Y,D,,,,
SY1_C,2,YYBB,YBB-Y,D,,,,
SY1_C,2,YYBB,YBB-Y,D,,,,
SY1_C,2,YYBB,WWYY,D,,,,
SY1_C,2,YYBB,WWYY,D,,,,
SY1_C,3,WWYY,YYBB,D,,,,
SY1_C,3,YYBB,YBB-Y,D,,,,
SY1_C,3,YYBB,YBB-Y,D,,,,
SY1_C,3,YYBB,YBB-Y,D,,,,
SY1_C,3,YYBB,YBB-Y,B,,,,
SY1_C,3,YYBB,WWYY,P,,,,
SY1_C,3,YYBB,WWYY,D,,,,
SY1_C,3,YYBB,WWYY,D,,,,
SY1_C,3,YYBB,/G,P,,,,
SY1_C,3,YYBB,/G,D,,,,
SY1_C,3,YYBB,WRGB,D,,,,
SY1_C,3,YYBB,WRGB,D,,,,
SY1_C,3,YYBB,WRGB,C,,,,
SY1_C,3,WWYY,WRGB,D,,,,
SY1_C,3,WWYY,WRGB,D,,,,
SY1_C,3,WWYY,YBB-Y,D,,,,
SY1_C,4,WWYY,YYBB,D,,,,
SY1_C,4,YYBB,YBB-Y,D,,,,
SY1_C,4,YYBB,YBB-Y,D,,,,
SY1_C,4,YYBB,YBB-Y,D,,,,
SY1_C,4,YYBB,YBB-Y,D,,,,
SY1_C,4,YYBB,WRGB,D,,,,
SY1_C,4,YYBB,WRGB,D,,,,
SY1_C,4,/W,WRGB,D,,,,
SY1_C,5,WWYY,/G,D,,,,
SY1_C,5,WWYY,YBB-Y,P,,,,
SY1_C,5,WWYY,YBB-Y,D,,,,
SY1_C,6,WWYY,YYBB,D,,,,
SY1_C,6,YYBB,WWYY,D,,,,
SY1_C,6,YYBB,YBB-Y,D,,,,
SY1_C,6,YYBB,WRGB,D,,,,
SY1_C,6,YYBB,WRGB,D,,,,
SY1_C,6,WWYY,/W,D,,,,
SY1_C,7,WWYY,WRGB,D,,,,
SY1_C,7,WWYY,WRGB,D,,,,
SY1_C,7,WWYY,WRGB,D,,,,
SY1_C,7,WWYY,WRGB,B,,,,
SY1_C,7,WWYY,YBB-Y,D,,,,
SY1_C,7,WWYY,YBB-Y,D,,,,
SY1_C,7,WWYY,YBB-Y,B,,,,
SY1_C,7,WWYY,YBB-Y,B,,,,
SY1_C,7,WWYY,/G,D,,,,
SY1_C,7,YYBB,WWYY,D,,,,
SY1_C,7,YYBB,WRGB,D,,,,
SY1_C,7,YYBB,WRGB,D,,,,
SY1_C,7,YYBB,YBB-Y,D,,,,
SY1_C,7,YYBB,YBB-Y,D,,,,
SY1_C,7,YYBB,YBB-Y,D,,,,
SY1_C,7,YYBB,YBB-Y,B,,,,
SY1_C,8,WWYY,YYBB,D,,,,
SY1_C,8,YYBB,YBB-Y,D,,,,
SY1_C,8,WRGB,YBB-Y,D,,,,
SY1_C,10,YYBB,YBB-Y,D,,,,
SY1_C,10,YYBB,YBB-Y,D,,,,
SY1_C,10,YBB-Y,YYBB,D,,,,
SY1_C,10,YYBB,WRGB,D,,,,
SY1_C,10,YYBB,WRGB,D,,,,
SY1_C,10,YYBB,WRGB,D,,,,
SY1_C,10,YYBB,WRGB,D,,,,
SY1_C,10,YYBB,WRGB,C,,,,
SY1_C,10,YYBB,WRGB,B,,,,
SY1_C,10,WWYY,YBB-Y,D,,,,
ROAD_FLATS_SE,1,YGYG,/D,C,,,,
ROAD_FLATS_SE,1,YGYG,/D,B,,,,
ROAD_FLATS_SE,1,/D,YGYG,B,,,,
ROAD_FLATS_SE,1,YDWD,/D,C,,,,
ROAD_FLATS_SE,2,YBGG,/D,D,,,,
ROAD_FLATS_SE,2,YBGG,/D,B,,,,
ROAD_FLATS_SE,2,YBGG,YDWD,D,,,,
ROAD_FLATS_SE,2,YBGG,YDWD,B,,,,
ROAD_FLATS_SE,2,Y-BMBG,/D,D,,,,
ROAD_FLATS_SE,2,Y-BMBG,/D,D,,,,
ROAD_FLATS_SE,2,YDWD,YGYG,P,,,,
ROAD_FLATS_SE,3,YDWD,/D,D,,,,
ROAD_FLATS_SE,3,Y-BMBG,/D,D,,,,
ROAD_FLATS_SE,3,Y-BMBG,YGYG,P,,,,
ROAD_FLATS_SE,3,YBGG,/D,D,,,,
ROAD_FLATS_SE,3,/D,YDWD,D,,,,
ROAD_FLATS_SE,3,/D,YDWD,D,,,,
ROAD_FLATS_SE,4,GBGB,YGYG,P,,,,
ROAD_FLATS_SE,4,Y-BMBG,YDWD,D,,,,
ROAD_FLATS_SE,4,/D,YDWD,D,,,,
ROAD_FLATS_SE,4,YBGG,YGYG,P,,,,
ROAD_FLATS_SE,5,GBGB,YGYG,B,,,,
ROAD_FLATS_SE,5,GBGB,YGYG,B,,,,
ROAD_FLATS_SE,5,RRRR,YDWD,D,,,,
ROAD_FLATS_SE,5,Y-BMBG,YGYG,P,,,,
ROAD_FLATS_SE,5,YBGG,YDWD,P,,,,
ROAD_FLATS_SE,5,YBGG,Y-BMBG,P,,,,
ROAD_FLATS_SE,5,YBGG,Y-BMBG,D,,,,
ROAD_FLATS_SE,5,GBGB,YDWD,D,,,,
ROAD_FLATS_SE,6,YBGG,GBGB,P,,,,
ROAD_FLATS_SE,6,YBGG,YGYG,D,,,,
ROAD_FLATS_SE,6,YDWD,YGYG,P,,,,
ROAD_FLATS_SE,6,YBGG,Y-BMBG,D,,,,
ROAD_FLATS_SE,6,YBGG,/D,P,,,,
ROAD_FLATS_SE,6,YBGG,/D,P,,,,
ROAD_FLATS_SE,6,YBGG,/D,D,,,,
ROAD_FLATS_SE,7,Y-BMBG,YDWD,D,,,,
ROAD_FLATS_SE,7,Y-BMBG,YDWD,B,,,,
